DATE,AvgTemp
01-01-2014,40
02-01-2014,43
03-01-2014,41
04-01-2014,37
05-01-2014,31
06-01-2014,31
07-01-2014,37
08-01-2014,36
09-01-2014,36
10-01-2014,39
11-01-2014,40
12-01-2014,39
13-01-2014,36
14-01-2014,39
15-01-2014,43
16-01-2014,45
17-01-2014,50
18-01-2014,46
19-01-2014,44
20-01-2014,45
21-01-2014,48
22-01-2014,38
23-01-2014,39
24-01-2014,47
25-01-2014,52
26-01-2014,50
27-01-2014,45
28-01-2014,34
29-01-2014,33
30-01-2014,34
31-01-2014,38
01-02-2014,43
02-02-2014,43
03-02-2014,43
04-02-2014,46
05-02-2014,46
06-02-2014,44
07-02-2014,46
08-02-2014,45
09-02-2014,46
10-02-2014,45
11-02-2014,43
12-02-2014,44
13-02-2014,42
14-02-2014,42
15-02-2014,47
16-02-2014,41
17-02-2014,40
18-02-2014,41
19-02-2014,41
20-02-2014,40
21-02-2014,41
22-02-2014,41
23-02-2014,41
24-02-2014,42
25-02-2014,40
26-02-2014,43
27-02-2014,46
28-02-2014,47
01-03-2014,48
02-03-2014,38
03-03-2014,37
04-03-2014,39
05-03-2014,40
06-03-2014,41
07-03-2014,44
08-03-2014,39
09-03-2014,42
10-03-2014,40
11-03-2014,40
12-03-2014,40
13-03-2014,44
14-03-2014,44
15-03-2014,40
16-03-2014,40
17-03-2014,45
18-03-2014,44
19-03-2014,44
20-03-2014,41
21-03-2014,39
22-03-2014,37
23-03-2014,39
24-03-2014,41
25-03-2014,44
26-03-2014,45
27-03-2014,39
28-03-2014,36
29-03-2014,36
30-03-2014,37
31-03-2014,37
01-04-2014,40
02-04-2014,43
03-04-2014,44
04-04-2014,41
05-04-2014,41
06-04-2014,42
07-04-2014,42
08-04-2014,44
09-04-2014,45
10-04-2014,45
11-04-2014,47
12-04-2014,44
13-04-2014,41
14-04-2014,41
15-04-2014,45
16-04-2014,50
17-04-2014,50
18-04-2014,52
19-04-2014,52
20-04-2014,49
21-04-2014,47
22-04-2014,48
23-04-2014,50
24-04-2014,50
25-04-2014,51
26-04-2014,54
27-04-2014,48
28-04-2014,47
29-04-2014,46
30-04-2014,44
01-05-2014,45
02-05-2014,45
03-05-2014,46
04-05-2014,46
05-05-2014,47
06-05-2014,49
07-05-2014,51
08-05-2014,52
09-05-2014,52
10-05-2014,49
11-05-2014,48
12-05-2014,47
13-05-2014,47
14-05-2014,48
15-05-2014,50
16-05-2014,52
18-05-2014,52
19-05-2014,52
20-05-2014,53
21-05-2014,55
22-05-2014,52
23-05-2014,50
24-05-2014,48
25-05-2014,45
26-05-2014,42
27-05-2014,42
28-05-2014,43
29-05-2014,44
30-05-2014,46
31-05-2014,43
01-06-2014,44
02-06-2014,42
03-06-2014,46
04-06-2014,45
05-06-2014,48
06-06-2014,44
07-06-2014,45
08-06-2014,48
09-06-2014,51
10-06-2014,52
11-06-2014,49
12-06-2014,45
13-06-2014,46
14-06-2014,50
15-06-2014,51
16-06-2014,50
17-06-2014,45
18-06-2014,44
19-06-2014,49
20-06-2014,46
21-06-2014,42
22-06-2014,45
23-06-2014,51
24-06-2014,51
25-06-2014,54
26-06-2014,56
27-06-2014,54
28-06-2014,53
29-06-2014,53
30-06-2014,52
01-07-2014,54
02-07-2014,54
03-07-2014,57
04-07-2014,56
05-07-2014,52
06-07-2014,49
07-07-2014,48
08-07-2014,50
09-07-2014,51
10-07-2014,53
11-07-2014,53
12-07-2014,52
13-07-2014,48
14-07-2014,46
15-07-2014,47
16-07-2014,46
17-07-2014,49
18-07-2014,48
19-07-2014,49
20-07-2014,46
21-07-2014,50
22-07-2014,48
23-07-2014,53
24-07-2014,54
25-07-2014,54
26-07-2014,50
27-07-2014,46
28-07-2014,47
29-07-2014,44
30-07-2014,47
31-07-2014,47
01-08-2014,53
02-08-2014,51
03-08-2014,52
04-08-2014,54
05-08-2014,52
06-08-2014,50
07-08-2014,46
08-08-2014,47
09-08-2014,48
10-08-2014,46
11-08-2014,48
12-08-2014,49
13-08-2014,52
14-08-2014,54
15-08-2014,54
16-08-2014,52
17-08-2014,49
18-08-2014,48
19-08-2014,46
20-08-2014,46
21-08-2014,48
22-08-2014,48
23-08-2014,52
24-08-2014,51
25-08-2014,51
26-08-2014,49
27-08-2014,48
28-08-2014,48
29-08-2014,47
30-08-2014,52
31-08-2014,51
01-09-2014,47
02-09-2014,51
03-09-2014,51
04-09-2014,51
05-09-2014,53
06-09-2014,50
07-09-2014,47
08-09-2014,46
09-09-2014,47
10-09-2014,48
11-09-2014,49
12-09-2014,50
13-09-2014,51
14-09-2014,51
15-09-2014,50
16-09-2014,46
17-09-2014,46
18-09-2014,46
19-09-2014,47
20-09-2014,46
21-09-2014,45
22-09-2014,48
23-09-2014,50
24-09-2014,50
25-09-2014,48
26-09-2014,51
27-09-2014,47
28-09-2014,49
29-09-2014,47
30-09-2014,44
01-10-2014,45
02-10-2014,45
03-10-2014,44
04-10-2014,45
05-10-2014,46
06-10-2014,46
07-10-2014,48
08-10-2014,49
09-10-2014,51
10-10-2014,49
11-10-2014,47
12-10-2014,45
13-10-2014,43
14-10-2014,46
15-10-2014,49
16-10-2014,52
17-10-2014,48
18-10-2014,46
19-10-2014,48
20-10-2014,51
21-10-2014,49
22-10-2014,48
23-10-2014,46
24-10-2014,49
25-10-2014,49
26-10-2014,48
27-10-2014,47
28-10-2014,49
29-10-2014,49
30-10-2014,48
31-10-2014,47
01-11-2014,44
02-11-2014,48
03-11-2014,47
04-11-2014,43
05-11-2014,48
06-11-2014,50
07-11-2014,48
08-11-2014,46
09-11-2014,48
10-11-2014,51
11-11-2014,50
12-11-2014,49
13-11-2014,48
14-11-2014,46
15-11-2014,44
16-11-2014,47
17-11-2014,50
18-11-2014,47
19-11-2014,47
20-11-2014,45
21-11-2014,47
22-11-2014,46
23-11-2014,43
24-11-2014,50
25-11-2014,51
26-11-2014,48
27-11-2014,48
28-11-2014,47
29-11-2014,45
30-11-2014,43
01-12-2014,44
02-12-2014,43
03-12-2014,45
04-12-2014,47
05-12-2014,45
06-12-2014,44
07-12-2014,46
08-12-2014,48
09-12-2014,48
10-12-2014,50
11-12-2014,51
12-12-2014,46
13-12-2014,47
14-12-2014,47
15-12-2014,49
16-12-2014,49
17-12-2014,48
18-12-2014,48
19-12-2014,51
20-12-2014,48
21-12-2014,44
22-12-2014,39
23-12-2014,36
24-12-2014,41
25-12-2014,47
26-12-2014,47
27-12-2014,44
28-12-2014,48
29-12-2014,45
30-12-2014,45
31-12-2014,44
01-01-2015,45
02-01-2015,37
03-01-2015,33
04-01-2015,38
05-01-2015,44
06-01-2015,45
07-01-2015,46
08-01-2015,48
09-01-2015,46
10-01-2015,43
11-01-2015,46
12-01-2015,49
13-01-2015,49
14-01-2015,47
15-01-2015,48
16-01-2015,48
17-01-2015,48
18-01-2015,47
19-01-2015,48
20-01-2015,46
21-01-2015,49
22-01-2015,47
23-01-2015,54
24-01-2015,51
25-01-2015,48
26-01-2015,51
27-01-2015,47
28-01-2015,45
29-01-2015,45
30-01-2015,45
31-01-2015,43
01-02-2015,45
02-02-2015,46
03-02-2015,48
04-02-2015,45
05-02-2015,44
06-02-2015,40
07-02-2015,43
08-02-2015,51
09-02-2015,49
10-02-2015,43
11-02-2015,44
12-02-2015,45
13-02-2015,47
14-02-2015,48
15-02-2015,44
16-02-2015,45
17-02-2015,45
18-02-2015,45
19-02-2015,47
20-02-2015,47
21-02-2015,44
22-02-2015,44
23-02-2015,47
24-02-2015,48
25-02-2015,48
26-02-2015,42
27-02-2015,42
28-02-2015,40
01-03-2015,39
02-03-2015,38
03-03-2015,40
04-03-2015,36
05-03-2015,41
06-03-2015,42
07-03-2015,46
08-03-2015,39
09-03-2015,35
10-03-2015,38
11-03-2015,34
12-03-2015,36
13-03-2015,36
14-03-2015,39
15-03-2015,42
16-03-2015,45
17-03-2015,47
18-03-2015,47
19-03-2015,50
20-03-2015,50
21-03-2015,51
22-03-2015,47
23-03-2015,48
24-03-2015,46
25-03-2015,46
26-03-2015,47
27-03-2015,49
28-03-2015,50
29-03-2015,48
30-03-2015,45
31-03-2015,41
01-04-2015,41
02-04-2015,40
03-04-2015,43
04-04-2015,45
05-04-2015,44
06-04-2015,44
07-04-2015,40
08-04-2015,43
09-04-2015,43
10-04-2015,42
11-04-2015,42
12-04-2015,41
13-04-2015,45
14-04-2015,46
15-04-2015,43
16-04-2015,41
17-04-2015,42
18-04-2015,45
19-04-2015,49
20-04-2015,50
21-04-2015,53
22-04-2015,50
23-04-2015,48
24-04-2015,51
25-04-2015,50
26-04-2015,48
27-04-2015,46
28-04-2015,44
29-04-2015,48
30-04-2015,47
01-05-2015,45
02-05-2015,43
03-05-2015,43
04-05-2015,48
05-05-2015,51
06-05-2015,53
07-05-2015,50
08-05-2015,49
09-05-2015,46
10-05-2015,44
11-05-2015,46
12-05-2015,44
13-05-2015,39
14-05-2015,40
15-05-2015,42
16-05-2015,45
17-05-2015,49
18-05-2015,48
19-05-2015,47
20-05-2015,47
21-05-2015,46
22-05-2015,49
23-05-2015,48
24-05-2015,49
25-05-2015,52
26-05-2015,54
27-05-2015,51
28-05-2015,52
29-05-2015,53
30-05-2015,48
31-05-2015,46
01-06-2015,46
02-06-2015,49
03-06-2015,48
04-06-2015,47
05-06-2015,45
06-06-2015,46
07-06-2015,47
08-06-2015,47
09-06-2015,46
10-06-2015,43
11-06-2015,40
12-06-2015,41
13-06-2015,46
14-06-2015,50
15-06-2015,52
16-06-2015,55
17-06-2015,56
18-06-2015,56
19-06-2015,52
20-06-2015,52
21-06-2015,53
22-06-2015,52
23-06-2015,56
24-06-2015,51
25-06-2015,51
26-06-2015,50
27-06-2015,47
28-06-2015,49
29-06-2015,48
30-06-2015,48
01-07-2015,46
02-07-2015,46
03-07-2015,47
04-07-2015,48
05-07-2015,50
06-07-2015,52
07-07-2015,47
08-07-2015,47
09-07-2015,47
10-07-2015,48
11-07-2015,53
12-07-2015,52
13-07-2015,51
14-07-2015,53
15-07-2015,55
16-07-2015,51
17-07-2015,48
18-07-2015,48
19-07-2015,50
20-07-2015,46
21-07-2015,43
22-07-2015,45
23-07-2015,49
24-07-2015,51
25-07-2015,51
26-07-2015,50
27-07-2015,50
28-07-2015,48
29-07-2015,54
30-07-2015,56
31-07-2015,54
01-08-2015,56
02-08-2015,49
03-08-2015,48
04-08-2015,47
05-08-2015,50
06-08-2015,48
07-08-2015,50
08-08-2015,54
09-08-2015,53
10-08-2015,50
11-08-2015,47
12-08-2015,48
13-08-2015,48
14-08-2015,50
15-08-2015,47
16-08-2015,47
17-08-2015,48
18-08-2015,46
19-08-2015,46
20-08-2015,45
21-08-2015,54
22-08-2015,53
23-08-2015,51
24-08-2015,46
25-08-2015,47
26-08-2015,49
27-08-2015,49
28-08-2015,51
29-08-2015,51
30-08-2015,49
31-08-2015,48
01-09-2015,51
02-09-2015,48
03-09-2015,47
04-09-2015,47
05-09-2015,47
06-09-2015,48
07-09-2015,48
08-09-2015,50
09-09-2015,53
10-09-2015,49
11-09-2015,51
12-09-2015,49
13-09-2015,53
14-09-2015,52
15-09-2015,49
16-09-2015,47
17-09-2015,46
18-09-2015,46
19-09-2015,47
20-09-2015,50
21-09-2015,49
22-09-2015,47
23-09-2015,46
24-09-2015,47
25-09-2015,47
26-09-2015,48
27-09-2015,47
28-09-2015,46
29-09-2015,45
30-09-2015,50
01-10-2015,48
02-10-2015,48
03-10-2015,53
04-10-2015,51
05-10-2015,50
06-10-2015,47
07-10-2015,52
08-10-2015,51
09-10-2015,49
10-10-2015,49
11-10-2015,52
12-10-2015,49
13-10-2015,48
14-10-2015,48
15-10-2015,47
16-10-2015,51
17-10-2015,48
18-10-2015,49
19-10-2015,50
20-10-2015,49
21-10-2015,48
22-10-2015,48
23-10-2015,47
24-10-2015,50
25-10-2015,53
26-10-2015,54
27-10-2015,53
28-10-2015,51
29-10-2015,46
30-10-2015,48
31-10-2015,52
01-11-2015,49
02-11-2015,50
03-11-2015,50
04-11-2015,50
05-11-2015,50
06-11-2015,50
07-11-2015,51
08-11-2015,49
09-11-2015,45
10-11-2015,43
11-11-2015,45
12-11-2015,44
13-11-2015,43
14-11-2015,44
15-11-2015,44
16-11-2015,44
17-11-2015,47
18-11-2015,45
19-11-2015,50
20-11-2015,47
21-11-2015,47
22-11-2015,50
23-11-2015,49
24-11-2015,48
25-11-2015,47
26-11-2015,48
27-11-2015,50
28-11-2015,47
29-11-2015,49
30-11-2015,52
01-12-2015,52
02-12-2015,51
03-12-2015,50
04-12-2015,49
05-12-2015,49
06-12-2015,51
07-12-2015,54
08-12-2015,52
09-12-2015,49
10-12-2015,47
11-12-2015,48
12-12-2015,47
13-12-2015,44
14-12-2015,45
15-12-2015,41
16-12-2015,44
17-12-2015,46
18-12-2015,46
19-12-2015,40
20-12-2015,42
21-12-2015,41
22-12-2015,43
23-12-2015,40
24-12-2015,41
25-12-2015,42
26-12-2015,42
27-12-2015,43
28-12-2015,40
29-12-2015,40
30-12-2015,44
31-12-2015,48
01-01-2016,48
02-01-2016,45
03-01-2016,47
04-01-2016,45
05-01-2016,43
06-01-2016,46
07-01-2016,48
08-01-2016,46
09-01-2016,47
10-01-2016,46
11-01-2016,47
12-01-2016,47
13-01-2016,48
14-01-2016,50
15-01-2016,48
16-01-2016,46
17-01-2016,47
18-01-2016,48
19-01-2016,50
20-01-2016,50
21-01-2016,50
22-01-2016,50
23-01-2016,49
24-01-2016,47
25-01-2016,45
26-01-2016,49
27-01-2016,48
28-01-2016,53
29-01-2016,57
30-01-2016,54
31-01-2016,50
01-02-2016,45
02-02-2016,45
03-02-2016,47
04-02-2016,49
05-02-2016,48
06-02-2016,47
07-02-2016,40
08-02-2016,42
09-02-2016,45
10-02-2016,45
11-02-2016,46
12-02-2016,50
13-02-2016,52
14-02-2016,51
15-02-2016,48
16-02-2016,48
17-02-2016,51
18-02-2016,48
19-02-2016,47
20-02-2016,48
21-02-2016,50
22-02-2016,52
23-02-2016,54
24-02-2016,54
25-02-2016,46
26-02-2016,45
27-02-2016,48
28-02-2016,46
29-02-2016,49
01-03-2016,50
02-03-2016,50
03-03-2016,51
04-03-2016,50
05-03-2016,48
06-03-2016,49
07-03-2016,49
08-03-2016,55
09-03-2016,50
10-03-2016,47
11-03-2016,44
12-03-2016,45
13-03-2016,46
14-03-2016,47
15-03-2016,44
16-03-2016,45
17-03-2016,45
18-03-2016,44
19-03-2016,46
20-03-2016,46
21-03-2016,46
22-03-2016,44
23-03-2016,40
24-03-2016,40
25-03-2016,41
26-03-2016,42
27-03-2016,47
28-03-2016,51
29-03-2016,52
30-03-2016,51
31-03-2016,52
01-04-2016,50
02-04-2016,50
03-04-2016,52
04-04-2016,54
05-04-2016,53
06-04-2016,50
07-04-2016,48
08-04-2016,46
09-04-2016,48
10-04-2016,47
11-04-2016,51
12-04-2016,50
13-04-2016,49
14-04-2016,49
15-04-2016,45
16-04-2016,44
17-04-2016,45
18-04-2016,48
19-04-2016,46
21-04-2016,50
22-04-2016,50
23-04-2016,50
24-04-2016,51
25-04-2016,48
26-04-2016,50
27-04-2016,51
28-04-2016,50
29-04-2016,53
30-04-2016,48
01-05-2016,49
02-05-2016,54
03-05-2016,52
04-05-2016,55
05-05-2016,51
06-05-2016,49
07-05-2016,47
08-05-2016,47
09-05-2016,44
10-05-2016,43
11-05-2016,45
12-05-2016,45
13-05-2016,44
14-05-2016,50
15-05-2016,52
16-05-2016,52
17-05-2016,52
18-05-2016,51
19-05-2016,51
20-05-2016,49
21-05-2016,49
22-05-2016,47
23-05-2016,44
24-05-2016,42
25-05-2016,43
26-05-2016,44
27-05-2016,44
28-05-2016,45
29-05-2016,46
30-05-2016,47
31-05-2016,49
01-06-2016,48
02-06-2016,49
03-06-2016,49
04-06-2016,52
05-06-2016,52
06-06-2016,51
07-06-2016,52
08-06-2016,52
09-06-2016,53
10-06-2016,53
11-06-2016,47
12-06-2016,49
13-06-2016,49
14-06-2016,48
15-06-2016,48
16-06-2016,52
17-06-2016,53
18-06-2016,51
19-06-2016,51
20-06-2016,49
21-06-2016,48
22-06-2016,48
23-06-2016,49
24-06-2016,50
25-06-2016,50
26-06-2016,48
27-06-2016,45
28-06-2016,46
29-06-2016,46
30-06-2016,51
