Month,Footfalls,t,log_footfalls,t_square,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jan-91,1709,1,7.443663683,1,1,0,0,0,0,0,0,0,0,0,0,0
Feb-91,1621,2,7.390798522,4,0,1,0,0,0,0,0,0,0,0,0,0
Mar-91,1973,3,7.587310506,9,0,0,1,0,0,0,0,0,0,0,0,0
Apr-91,1812,4,7.502186487,16,0,0,0,1,0,0,0,0,0,0,0,0
May-91,1975,5,7.588323677,25,0,0,0,0,1,0,0,0,0,0,0,0
Jun-91,1862,6,7.529406458,36,0,0,0,0,0,1,0,0,0,0,0,0
Jul-91,1940,7,7.570443252,49,0,0,0,0,0,0,1,0,0,0,0,0
Aug-91,2013,8,7.607381426,64,0,0,0,0,0,0,0,1,0,0,0,0
Sep-91,1596,9,7.375255778,81,0,0,0,0,0,0,0,0,1,0,0,0
Oct-91,1725,10,7.452982329,100,0,0,0,0,0,0,0,0,0,1,0,0
Nov-91,1676,11,7.424165281,121,0,0,0,0,0,0,0,0,0,0,1,0
Dec-91,1814,12,7.503289631,144,0,0,0,0,0,0,0,0,0,0,0,1
Jan-92,1615,13,7.387090236,169,1,0,0,0,0,0,0,0,0,0,0,0
Feb-92,1557,14,7.350516172,196,0,1,0,0,0,0,0,0,0,0,0,0
Mar-92,1891,15,7.544861069,225,0,0,1,0,0,0,0,0,0,0,0,0
Apr-92,1956,16,7.578656851,256,0,0,0,1,0,0,0,0,0,0,0,0
May-92,1885,17,7.5416831,289,0,0,0,0,1,0,0,0,0,0,0,0
Jun-92,1623,18,7.392031568,324,0,0,0,0,0,1,0,0,0,0,0,0
Jul-92,1903,19,7.551186867,361,0,0,0,0,0,0,1,0,0,0,0,0
Aug-92,1997,20,7.599401333,400,0,0,0,0,0,0,0,1,0,0,0,0
Sep-92,1704,21,7.440733707,441,0,0,0,0,0,0,0,0,1,0,0,0
Oct-92,1810,22,7.501082124,484,0,0,0,0,0,0,0,0,0,1,0,0
Nov-92,1862,23,7.529406458,529,0,0,0,0,0,0,0,0,0,0,1,0
Dec-92,1875,24,7.536363938,576,0,0,0,0,0,0,0,0,0,0,0,1
Jan-93,1705,25,7.44132039,625,1,0,0,0,0,0,0,0,0,0,0,0
Feb-93,1619,26,7.389563954,676,0,1,0,0,0,0,0,0,0,0,0,0
Mar-93,1837,27,7.515889085,729,0,0,1,0,0,0,0,0,0,0,0,0
Apr-93,1957,28,7.579167967,784,0,0,0,1,0,0,0,0,0,0,0,0
May-93,1917,29,7.558516743,841,0,0,0,0,1,0,0,0,0,0,0,0
Jun-93,1882,30,7.54009032,900,0,0,0,0,0,1,0,0,0,0,0,0
Jul-93,1933,31,7.566828479,961,0,0,0,0,0,0,1,0,0,0,0,0
Aug-93,1996,32,7.598900457,1024,0,0,0,0,0,0,0,1,0,0,0,0
Sep-93,1673,33,7.422373701,1089,0,0,0,0,0,0,0,0,1,0,0,0
Oct-93,1753,34,7.469083885,1156,0,0,0,0,0,0,0,0,0,1,0,0
Nov-93,1720,35,7.45007957,1225,0,0,0,0,0,0,0,0,0,0,1,0
Dec-93,1734,36,7.458186157,1296,0,0,0,0,0,0,0,0,0,0,0,1
Jan-94,1563,37,7.35436233,1369,1,0,0,0,0,0,0,0,0,0,0,0
Feb-94,1574,38,7.361375429,1444,0,1,0,0,0,0,0,0,0,0,0,0
Mar-94,1903,39,7.551186867,1521,0,0,1,0,0,0,0,0,0,0,0,0
Apr-94,1834,40,7.514254653,1600,0,0,0,1,0,0,0,0,0,0,0,0
May-94,1831,41,7.512617545,1681,0,0,0,0,1,0,0,0,0,0,0,0
Jun-94,1776,42,7.482118924,1764,0,0,0,0,0,1,0,0,0,0,0,0
Jul-94,1868,43,7.532623619,1849,0,0,0,0,0,0,1,0,0,0,0,0
Aug-94,1907,44,7.553286606,1936,0,0,0,0,0,0,0,1,0,0,0,0
Sep-94,1686,45,7.430114139,2025,0,0,0,0,0,0,0,0,1,0,0,0
Oct-94,1779,46,7.483806688,2116,0,0,0,0,0,0,0,0,0,1,0,0
Nov-94,1776,47,7.482118924,2209,0,0,0,0,0,0,0,0,0,0,1,0
Dec-94,1783,48,7.486052618,2304,0,0,0,0,0,0,0,0,0,0,0,1
Jan-95,1548,49,7.344719054,2401,1,0,0,0,0,0,0,0,0,0,0,0
Feb-95,1497,50,7.311218384,2500,0,1,0,0,0,0,0,0,0,0,0,0
Mar-95,1798,51,7.494430215,2601,0,0,1,0,0,0,0,0,0,0,0,0
Apr-95,1733,52,7.45760929,2704,0,0,0,1,0,0,0,0,0,0,0,0
May-95,1772,53,7.479864131,2809,0,0,0,0,1,0,0,0,0,0,0,0
Jun-95,1761,54,7.473637108,2916,0,0,0,0,0,1,0,0,0,0,0,0
Jul-95,1792,55,7.491087594,3025,0,0,0,0,0,0,1,0,0,0,0,0
Aug-95,1875,56,7.536363938,3136,0,0,0,0,0,0,0,1,0,0,0,0
Sep-95,1571,57,7.359467638,3249,0,0,0,0,0,0,0,0,1,0,0,0
Oct-95,1647,58,7.40671073,3364,0,0,0,0,0,0,0,0,0,1,0,0
Nov-95,1673,59,7.422373701,3481,0,0,0,0,0,0,0,0,0,0,1,0
Dec-95,1657,60,7.412764017,3600,0,0,0,0,0,0,0,0,0,0,0,1
Jan-96,1382,61,7.231287004,3721,1,0,0,0,0,0,0,0,0,0,0,0
Feb-96,1361,62,7.215975003,3844,0,1,0,0,0,0,0,0,0,0,0,0
Mar-96,1559,63,7.351799869,3969,0,0,1,0,0,0,0,0,0,0,0,0
Apr-96,1608,64,7.38274645,4096,0,0,0,1,0,0,0,0,0,0,0,0
May-96,1697,65,7.436617265,4225,0,0,0,0,1,0,0,0,0,0,0,0
Jun-96,1693,66,7.434257382,4356,0,0,0,0,0,1,0,0,0,0,0,0
Jul-96,1836,67,7.515344571,4489,0,0,0,0,0,0,1,0,0,0,0,0
Aug-96,1943,68,7.571988449,4624,0,0,0,0,0,0,0,1,0,0,0,0
Sep-96,1551,69,7.346655163,4761,0,0,0,0,0,0,0,0,1,0,0,0
Oct-96,1687,70,7.430707083,4900,0,0,0,0,0,0,0,0,0,1,0,0
Nov-96,1576,71,7.36264527,5041,0,0,0,0,0,0,0,0,0,0,1,0
Dec-96,1700,72,7.43838353,5184,0,0,0,0,0,0,0,0,0,0,0,1
Jan-97,1397,73,7.242082359,5329,1,0,0,0,0,0,0,0,0,0,0,0
Feb-97,1372,74,7.224024808,5476,0,1,0,0,0,0,0,0,0,0,0,0
Mar-97,1708,75,7.443078374,5625,0,0,1,0,0,0,0,0,0,0,0,0
Apr-97,1655,76,7.411556288,5776,0,0,0,1,0,0,0,0,0,0,0,0
May-97,1763,77,7.474772182,5929,0,0,0,0,1,0,0,0,0,0,0,0
Jun-97,1776,78,7.482118924,6084,0,0,0,0,0,1,0,0,0,0,0,0
Jul-97,1934,79,7.567345676,6241,0,0,0,0,0,0,1,0,0,0,0,0
Aug-97,2008,80,7.604894481,6400,0,0,0,0,0,0,0,1,0,0,0,0
Sep-97,1616,81,7.387709239,6561,0,0,0,0,0,0,0,0,1,0,0,0
Oct-97,1774,82,7.480992163,6724,0,0,0,0,0,0,0,0,0,1,0,0
Nov-97,1732,83,7.457032089,6889,0,0,0,0,0,0,0,0,0,0,1,0
Dec-97,1797,84,7.493873887,7056,0,0,0,0,0,0,0,0,0,0,0,1
Jan-98,1570,85,7.358830898,7225,1,0,0,0,0,0,0,0,0,0,0,0
Feb-98,1413,86,7.253470383,7396,0,1,0,0,0,0,0,0,0,0,0,0
Mar-98,1755,87,7.470224136,7569,0,0,1,0,0,0,0,0,0,0,0,0
Apr-98,1825,88,7.509335266,7744,0,0,0,1,0,0,0,0,0,0,0,0
May-98,1843,89,7.519149958,7921,0,0,0,0,1,0,0,0,0,0,0,0
Jun-98,1826,90,7.509883061,8100,0,0,0,0,0,1,0,0,0,0,0,0
Jul-98,1968,91,7.584773078,8281,0,0,0,0,0,0,1,0,0,0,0,0
Aug-98,1922,92,7.56112159,8464,0,0,0,0,0,0,0,1,0,0,0,0
Sep-98,1670,93,7.420578905,8649,0,0,0,0,0,0,0,0,1,0,0,0
Oct-98,1791,94,7.490529402,8836,0,0,0,0,0,0,0,0,0,1,0,0
Nov-98,1817,95,7.504942068,9025,0,0,0,0,0,0,0,0,0,0,1,0
Dec-98,1847,96,7.52131798,9216,0,0,0,0,0,0,0,0,0,0,0,1
Jan-99,1599,97,7.377133713,9409,1,0,0,0,0,0,0,0,0,0,0,0
Feb-99,1549,98,7.34536484,9604,0,1,0,0,0,0,0,0,0,0,0,0
Mar-99,1832,99,7.513163545,9801,0,0,1,0,0,0,0,0,0,0,0,0
Apr-99,1840,100,7.517520851,10000,0,0,0,1,0,0,0,0,0,0,0,0
May-99,1846,101,7.520776415,10201,0,0,0,0,1,0,0,0,0,0,0,0
Jun-99,1865,102,7.531016332,10404,0,0,0,0,0,1,0,0,0,0,0,0
Jul-99,1966,103,7.583756301,10609,0,0,0,0,0,0,1,0,0,0,0,0
Aug-99,1949,104,7.5750717,10816,0,0,0,0,0,0,0,1,0,0,0,0
Sep-99,1607,105,7.382124366,11025,0,0,0,0,0,0,0,0,1,0,0,0
Oct-99,1804,106,7.497761701,11236,0,0,0,0,0,0,0,0,0,1,0,0
Nov-99,1850,107,7.522940918,11449,0,0,0,0,0,0,0,0,0,0,1,0
Dec-99,1836,108,7.515344571,11664,0,0,0,0,0,0,0,0,0,0,0,1
Jan-00,1542,109,7.340835554,11881,1,0,0,0,0,0,0,0,0,0,0,0
Feb-00,1617,110,7.38832786,12100,0,1,0,0,0,0,0,0,0,0,0,0
Mar-00,1920,111,7.560080465,12321,0,0,1,0,0,0,0,0,0,0,0,0
Apr-00,1971,112,7.586296307,12544,0,0,0,1,0,0,0,0,0,0,0,0
May-00,1992,113,7.596894438,12769,0,0,0,0,1,0,0,0,0,0,0,0
Jun-00,2010,114,7.605890001,12996,0,0,0,0,0,1,0,0,0,0,0,0
Jul-00,2054,115,7.62754439,13225,0,0,0,0,0,0,1,0,0,0,0,0
Aug-00,2097,116,7.648263031,13456,0,0,0,0,0,0,0,1,0,0,0,0
Sep-00,1824,117,7.508787171,13689,0,0,0,0,0,0,0,0,1,0,0,0
Oct-00,1977,118,7.589335823,13924,0,0,0,0,0,0,0,0,0,1,0,0
Nov-00,1981,119,7.591357047,14161,0,0,0,0,0,0,0,0,0,0,1,0
Dec-00,2000,120,7.60090246,14400,0,0,0,0,0,0,0,0,0,0,0,1
Jan-01,1683,121,7.428333194,14641,1,0,0,0,0,0,0,0,0,0,0,0
Feb-01,1663,122,7.416378479,14884,0,1,0,0,0,0,0,0,0,0,0,0
Mar-01,2008,123,7.604894481,15129,0,0,1,0,0,0,0,0,0,0,0,0
Apr-01,2024,124,7.61283103,15376,0,0,0,1,0,0,0,0,0,0,0,0
May-01,2047,125,7.624130586,15625,0,0,0,0,1,0,0,0,0,0,0,0
Jun-01,2073,126,7.636752112,15876,0,0,0,0,0,1,0,0,0,0,0,0
Jul-01,2127,127,7.662467815,16129,0,0,0,0,0,0,1,0,0,0,0,0
Aug-01,2203,128,7.697575347,16384,0,0,0,0,0,0,0,1,0,0,0,0
Sep-01,1708,129,7.443078374,16641,0,0,0,0,0,0,0,0,1,0,0,0
Oct-01,1951,130,7.576097341,16900,0,0,0,0,0,0,0,0,0,1,0,0
Nov-01,1974,131,7.58781722,17161,0,0,0,0,0,0,0,0,0,0,1,0
Dec-01,1985,132,7.593374193,17424,0,0,0,0,0,0,0,0,0,0,0,1
Jan-02,1760,133,7.473069088,17689,1,0,0,0,0,0,0,0,0,0,0,0
Feb-02,1771,134,7.479299638,17956,0,1,0,0,0,0,0,0,0,0,0,0
Mar-02,2020,135,7.61085279,18225,0,0,1,0,0,0,0,0,0,0,0,0
Apr-02,2048,136,7.624618986,18496,0,0,0,1,0,0,0,0,0,0,0,0
May-02,2069,137,7.634820678,18769,0,0,0,0,1,0,0,0,0,0,0,0
Jun-02,1994,138,7.597897951,19044,0,0,0,0,0,1,0,0,0,0,0,0
Jul-02,2075,139,7.637716433,19321,0,0,0,0,0,0,1,0,0,0,0,0
Aug-02,2027,140,7.614312146,19600,0,0,0,0,0,0,0,1,0,0,0,0
Sep-02,1734,141,7.458186157,19881,0,0,0,0,0,0,0,0,1,0,0,0
Oct-02,1917,142,7.558516743,20164,0,0,0,0,0,0,0,0,0,1,0,0
Nov-02,1858,143,7.527255919,20449,0,0,0,0,0,0,0,0,0,0,1,0
Dec-02,1996,144,7.598900457,20736,0,0,0,0,0,0,0,0,0,0,0,1
Jan-03,1778,145,7.483244416,21025,1,0,0,0,0,0,0,0,0,0,0,0
Feb-03,1749,146,7.466799475,21316,0,1,0,0,0,0,0,0,0,0,0,0
Mar-03,2066,147,7.63336965,21609,0,0,1,0,0,0,0,0,0,0,0,0
Apr-03,2099,148,7.64921632,21904,0,0,0,1,0,0,0,0,0,0,0,0
May-03,2105,149,7.652070746,22201,0,0,0,0,1,0,0,0,0,0,0,0
Jun-03,2130,150,7.663877259,22500,0,0,0,0,0,1,0,0,0,0,0,0
Jul-03,2223,151,7.706612914,22801,0,0,0,0,0,0,1,0,0,0,0,0
Aug-03,2174,152,7.684324068,23104,0,0,0,0,0,0,0,1,0,0,0,0
Sep-03,1931,153,7.565793282,23409,0,0,0,0,0,0,0,0,1,0,0,0
Oct-03,2121,154,7.659642955,23716,0,0,0,0,0,0,0,0,0,1,0,0
Nov-03,2076,155,7.638198244,24025,0,0,0,0,0,0,0,0,0,0,1,0
Dec-03,2141,156,7.669028289,24336,0,0,0,0,0,0,0,0,0,0,0,1
Jan-04,1832,157,7.513163545,24649,1,0,0,0,0,0,0,0,0,0,0,0
Feb-04,1838,158,7.516433303,24964,0,1,0,0,0,0,0,0,0,0,0,0
Mar-04,2132,159,7.664815785,25281,0,0,1,0,0,0,0,0,0,0,0,0
