Month,Sales
1990-01-01,266
1990-02-01,145.9
1990-03-01,183.1
1990-04-01,119.3
1990-05-01,180.3
1990-06-01,168.5
1990-07-01,231.8
1990-08-01,224.5
1990-09-01,192.8
1990-10-01,122.9
1990-11-01,336.5
1990-12-01,185.9
1991-01-01,194.3
1991-02-01,149.5
1991-03-01,210.1
1991-04-01,273.3
1991-05-01,191.4
1991-06-01,287
1991-07-01,226
1991-08-01,303.6
1991-09-01,289.9
1991-10-01,421.6
1991-11-01,264.5
1991-12-01,342.3
1992-01-01,339.7
1992-02-01,440.4
1992-03-01,315.9
1992-04-01,439.3
1992-05-01,401.3
1992-06-01,437.4
1992-07-01,575.5
1992-08-01,407.6
1992-09-01,682
1992-10-01,475.3
1992-11-01,581.3
1992-12-01,646.9